epoch 1, loss 2.392159, train acc 0.149960, time 58.49 sec, lr 0.1\
epoch 28, loss 0.269300, train acc 0.905560, time 56.39 sec, lr 0.1\
epoch 29, loss 0.257204, train acc 0.910000, time 56.51 sec, lr 0.1\
epoch 30, loss 0.254206, train acc 0.912500, time 56.38 sec, lr 0.1\
epoch 31, loss 0.241770, train acc 0.917700, time 56.57 sec, lr 0.1\
epoch 32, loss 0.242643, train acc 0.915280, time 56.66 sec, lr 0.1\
epoch 33, loss 0.236772, train acc 0.917580, time 56.60 sec, lr 0.1\
epoch 34, loss 0.230540, train acc 0.919840, time 56.40 sec, lr 0.1\
epoch 35, loss 0.230839, train acc 0.920060, time 56.52 sec, lr 0.1\
epoch 36, loss 0.217684, train acc 0.924260, time 56.44 sec, lr 0.1\
epoch 37, loss 0.222054, train acc 0.923880, time 56.57 sec, lr 0.1\
epoch 38, loss 0.218852, train acc 0.923900, time 56.90 sec, lr 0.1\
epoch 39, loss 0.202924, train acc 0.930940, time 56.65 sec, lr 0.1\
epoch 40, loss 0.210762, train acc 0.925860, time 56.45 sec, lr 0.1\
epoch 41, loss 0.203788, train acc 0.929160, time 56.60 sec, lr 0.1\
epoch 42, loss 0.202390, train acc 0.929880, time 56.59 sec, lr 0.1\
epoch 43, loss 0.202499, train acc 0.929800, time 56.78 sec, lr 0.1\
epoch 44, loss 0.192637, train acc 0.933880, time 56.74 sec, lr 0.1\
epoch 45, loss 0.192168, train acc 0.933740, time 57.12 sec, lr 0.1\
epoch 46, loss 0.190617, train acc 0.933480, time 56.86 sec, lr 0.1\
epoch 47, loss 0.181109, train acc 0.937300, time 56.63 sec, lr 0.1\
epoch 48, loss 0.186655, train acc 0.935840, time 56.63 sec, lr 0.1\
epoch 49, loss 0.182150, train acc 0.937220, time 57.16 sec, lr 0.1\
epoch 50, loss 0.184954, train acc 0.934800, time 56.72 sec, lr 0.1\
epoch 51, loss 0.185484, train acc 0.936600, time 56.69 sec, lr 0.1\
epoch 52, loss 0.183601, train acc 0.936580, time 56.75 sec, lr 0.1\
epoch 53, loss 0.177134, train acc 0.938220, time 56.61 sec, lr 0.1\
epoch 54, loss 0.173315, train acc 0.941700, time 57.04 sec, lr 0.1\
epoch 55, loss 0.169772, train acc 0.941120, time 57.06 sec, lr 0.1\
epoch 56, loss 0.166580, train acc 0.942440, time 56.67 sec, lr 0.1\
epoch 57, loss 0.167438, train acc 0.942960, time 56.78 sec, lr 0.1\
epoch 58, loss 0.172877, train acc 0.940360, time 56.83 sec, lr 0.1\
epoch 59, loss 0.168389, train acc 0.940380, time 56.72 sec, lr 0.1\
epoch 60, loss 0.168723, train acc 0.941960, time 57.27 sec, lr 0.1\
epoch 61, loss 0.168985, train acc 0.941640, time 57.07 sec, lr 0.1\
epoch 62, loss 0.163850, train acc 0.943820, time 56.83 sec, lr 0.1\
epoch 63, loss 0.165323, train acc 0.942600, time 56.81 sec, lr 0.1\
epoch 64, loss 0.163690, train acc 0.943840, time 56.94 sec, lr 0.1\
epoch 65, loss 0.163547, train acc 0.942560, time 57.35 sec, lr 0.1\
epoch 66, loss 0.158795, train acc 0.945880, time 56.86 sec, lr 0.1\
epoch 67, loss 0.162316, train acc 0.943860, time 56.87 sec, lr 0.1\
epoch 68, loss 0.158653, train acc 0.945140, time 56.67 sec, lr 0.1\
epoch 69, loss 0.153261, train acc 0.947040, time 56.62 sec, lr 0.1\
epoch 70, loss 0.153368, train acc 0.947820, time 56.79 sec, lr 0.1\
epoch 71, loss 0.154391, train acc 0.947240, time 57.01 sec, lr 0.1\
epoch 72, loss 0.152046, train acc 0.947920, time 56.94 sec, lr 0.1\
epoch 73, loss 0.153892, train acc 0.947200, time 56.76 sec, lr 0.1\
epoch 74, loss 0.155514, train acc 0.945800, time 56.82 sec, lr 0.1\
epoch 75, loss 0.155804, train acc 0.945880, time 56.36 sec, lr 0.1\
epoch 76, loss 0.150724, train acc 0.947880, time 56.94 sec, lr 0.1\
epoch 77, loss 0.154986, train acc 0.946780, time 56.63 sec, lr 0.1\
epoch 78, loss 0.147711, train acc 0.949180, time 56.51 sec, lr 0.1\
epoch 79, loss 0.151852, train acc 0.946940, time 56.50 sec, lr 0.1\
epoch 80, loss 0.150818, train acc 0.947880, time 56.67 sec, lr 0.1\
epoch 81, loss 0.148668, train acc 0.947920, time 57.05 sec, lr 0.1\
epoch 82, loss 0.149161, train acc 0.948440, time 56.78 sec, lr 0.1\
epoch 83, loss 0.143225, train acc 0.949540, time 56.38 sec, lr 0.1\
epoch 84, loss 0.151945, train acc 0.947560, time 56.75 sec, lr 0.1\
epoch 85, loss 0.149437, train acc 0.948480, time 56.69 sec, lr 0.1\
epoch 86, loss 0.148051, train acc 0.950480, time 56.70 sec, lr 0.1\
epoch 87, loss 0.142649, train acc 0.951500, time 57.19 sec, lr 0.1\
epoch 88, loss 0.142813, train acc 0.950720, time 56.65 sec, lr 0.1\
epoch 89, loss 0.147759, train acc 0.948400, time 56.93 sec, lr 0.1\
epoch 90, loss 0.149408, train acc 0.948440, time 56.71 sec, lr 0.1\
epoch 91, loss 0.087794, train acc 0.970900, time 56.66 sec, lr 0.010000000000000002\
epoch 92, loss 0.052303, train acc 0.983480, time 57.13 sec, lr 0.010000000000000002\
epoch 93, loss 0.046088, train acc 0.985700, time 56.87 sec, lr 0.010000000000000002\
epoch 94, loss 0.038816, train acc 0.988320, time 57.00 sec, lr 0.010000000000000002\
epoch 95, loss 0.034216, train acc 0.989020, time 56.87 sec, lr 0.010000000000000002\
epoch 96, loss 0.030102, train acc 0.990900, time 56.74 sec, lr 0.010000000000000002\
epoch 97, loss 0.030423, train acc 0.990600, time 56.71 sec, lr 0.010000000000000002\
epoch 98, loss 0.027575, train acc 0.991600, time 57.27 sec, lr 0.010000000000000002\
epoch 99, loss 0.024680, train acc 0.992980, time 56.87 sec, lr 0.010000000000000002\
epoch 100, loss 0.024294, train acc 0.992740, time 56.85 sec, lr 0.010000000000000002\
epoch 101, loss 0.022801, train acc 0.993400, time 56.81 sec, lr 0.010000000000000002\
epoch 102, loss 0.020711, train acc 0.993920, time 56.88 sec, lr 0.010000000000000002\
epoch 103, loss 0.020487, train acc 0.993660, time 57.26 sec, lr 0.010000000000000002\
epoch 104, loss 0.019484, train acc 0.994020, time 56.88 sec, lr 0.010000000000000002\
epoch 105, loss 0.018875, train acc 0.994360, time 56.89 sec, lr 0.010000000000000002\
epoch 106, loss 0.019201, train acc 0.994460, time 56.86 sec, lr 0.010000000000000002\
epoch 107, loss 0.015941, train acc 0.995960, time 56.73 sec, lr 0.010000000000000002\
epoch 108, loss 0.016578, train acc 0.995080, time 56.79 sec, lr 0.010000000000000002\
epoch 109, loss 0.016591, train acc 0.995420, time 57.34 sec, lr 0.010000000000000002\
epoch 110, loss 0.017078, train acc 0.995020, time 56.68 sec, lr 0.010000000000000002\
epoch 111, loss 0.015624, train acc 0.995380, time 56.54 sec, lr 0.010000000000000002\
epoch 112, loss 0.015141, train acc 0.995560, time 56.42 sec, lr 0.010000000000000002\
epoch 113, loss 0.014314, train acc 0.995760, time 56.76 sec, lr 0.010000000000000002\
epoch 114, loss 0.015120, train acc 0.995380, time 56.93 sec, lr 0.010000000000000002\
epoch 115, loss 0.013627, train acc 0.995800, time 56.46 sec, lr 0.010000000000000002\
epoch 116, loss 0.013987, train acc 0.995940, time 56.49 sec, lr 0.010000000000000002\
epoch 117, loss 0.012513, train acc 0.996360, time 56.20 sec, lr 0.010000000000000002\
epoch 118, loss 0.013238, train acc 0.995860, time 56.02 sec, lr 0.010000000000000002\
epoch 119, loss 0.012140, train acc 0.996600, time 56.26 sec, lr 0.010000000000000002\
epoch 120, loss 0.012522, train acc 0.996360, time 56.37 sec, lr 0.010000000000000002\
epoch 121, loss 0.012507, train acc 0.996260, time 56.12 sec, lr 0.010000000000000002\
epoch 122, loss 0.012434, train acc 0.996160, time 55.75 sec, lr 0.010000000000000002\
epoch 123, loss 0.012449, train acc 0.996340, time 55.57 sec, lr 0.010000000000000002\
epoch 124, loss 0.010426, train acc 0.997120, time 55.57 sec, lr 0.010000000000000002\
epoch 125, loss 0.010220, train acc 0.997180, time 56.34 sec, lr 0.010000000000000002\
epoch 126, loss 0.011658, train acc 0.996640, time 57.33 sec, lr 0.010000000000000002\
epoch 127, loss 0.011771, train acc 0.996480, time 57.42 sec, lr 0.010000000000000002\
epoch 128, loss 0.010755, train acc 0.997100, time 58.35 sec, lr 0.010000000000000002\
epoch 129, loss 0.010569, train acc 0.996560, time 56.91 sec, lr 0.010000000000000002\
epoch 130, loss 0.011216, train acc 0.996480, time 57.25 sec, lr 0.010000000000000002\
epoch 131, loss 0.009594, train acc 0.997300, time 57.68 sec, lr 0.010000000000000002\
epoch 132, loss 0.010447, train acc 0.996880, time 56.72 sec, lr 0.010000000000000002\
epoch 133, loss 0.010418, train acc 0.996840, time 56.11 sec, lr 0.010000000000000002\
epoch 134, loss 0.009588, train acc 0.997060, time 56.08 sec, lr 0.010000000000000002\
epoch 135, loss 0.009740, train acc 0.997180, time 55.94 sec, lr 0.010000000000000002\
epoch 136, loss 0.009073, train acc 0.997540, time 57.49 sec, lr 0.010000000000000002\
epoch 137, loss 0.008207, train acc 0.997800, time 55.47 sec, lr 0.010000000000000002\
epoch 138, loss 0.008651, train acc 0.997720, time 55.41 sec, lr 0.010000000000000002\
epoch 139, loss 0.008847, train acc 0.997440, time 55.53 sec, lr 0.010000000000000002\
epoch 140, loss 0.009109, train acc 0.997540, time 55.56 sec, lr 0.010000000000000002\
epoch 141, loss 0.008245, train acc 0.997680, time 55.65 sec, lr 0.010000000000000002\
epoch 142, loss 0.008579, train acc 0.997600, time 55.99 sec, lr 0.010000000000000002\
epoch 143, loss 0.008622, train acc 0.997380, time 55.84 sec, lr 0.010000000000000002\
epoch 144, loss 0.007843, train acc 0.997600, time 55.52 sec, lr 0.010000000000000002\
epoch 145, loss 0.008381, train acc 0.997780, time 55.55 sec, lr 0.010000000000000002\
epoch 146, loss 0.008280, train acc 0.997620, time 55.83 sec, lr 0.010000000000000002\
epoch 147, loss 0.009055, train acc 0.997480, time 56.15 sec, lr 0.010000000000000002\
epoch 148, loss 0.007631, train acc 0.997820, time 55.68 sec, lr 0.010000000000000002\
epoch 149, loss 0.007945, train acc 0.997820, time 55.81 sec, lr 0.010000000000000002\
epoch 150, loss 0.007657, train acc 0.997880, time 55.74 sec, lr 0.010000000000000002\
epoch 151, loss 0.007608, train acc 0.998020, time 56.02 sec, lr 0.010000000000000002\
epoch 152, loss 0.007001, train acc 0.997980, time 56.21 sec, lr 0.010000000000000002\
epoch 153, loss 0.007440, train acc 0.998040, time 56.39 sec, lr 0.010000000000000002\
epoch 154, loss 0.007307, train acc 0.998000, time 55.82 sec, lr 0.010000000000000002\
epoch 155, loss 0.007724, train acc 0.997840, time 55.75 sec, lr 0.010000000000000002\
epoch 156, loss 0.007103, train acc 0.998200, time 55.90 sec, lr 0.010000000000000002\
epoch 157, loss 0.006780, train acc 0.998140, time 56.07 sec, lr 0.010000000000000002\
epoch 158, loss 0.007497, train acc 0.997820, time 56.28 sec, lr 0.010000000000000002\
epoch 159, loss 0.006649, train acc 0.998200, time 55.84 sec, lr 0.010000000000000002\
epoch 160, loss 0.006565, train acc 0.998240, time 56.06 sec, lr 0.010000000000000002\
epoch 161, loss 0.007200, train acc 0.998120, time 55.88 sec, lr 0.010000000000000002\
epoch 162, loss 0.006920, train acc 0.998100, time 56.11 sec, lr 0.010000000000000002\
epoch 163, loss 0.006914, train acc 0.998320, time 55.63 sec, lr 0.010000000000000002\
epoch 164, loss 0.007184, train acc 0.998120, time 55.18 sec, lr 0.010000000000000002\
epoch 165, loss 0.007131, train acc 0.997820, time 54.79 sec, lr 0.010000000000000002\
epoch 166, loss 0.006772, train acc 0.998160, time 54.82 sec, lr 0.010000000000000002\
epoch 167, loss 0.007000, train acc 0.998020, time 54.61 sec, lr 0.010000000000000002\
epoch 168, loss 0.007245, train acc 0.997980, time 54.74 sec, lr 0.010000000000000002\
epoch 169, loss 0.005688, train acc 0.998420, time 54.57 sec, lr 0.010000000000000002\
epoch 170, loss 0.007468, train acc 0.997980, time 54.62 sec, lr 0.010000000000000002\
epoch 171, loss 0.006430, train acc 0.998520, time 54.24 sec, lr 0.010000000000000002\
epoch 172, loss 0.006620, train acc 0.998320, time 54.54 sec, lr 0.010000000000000002\
epoch 173, loss 0.006871, train acc 0.998040, time 54.33 sec, lr 0.010000000000000002\
epoch 174, loss 0.006755, train acc 0.998200, time 54.76 sec, lr 0.010000000000000002\
epoch 175, loss 0.006436, train acc 0.998260, time 54.85 sec, lr 0.010000000000000002\
epoch 176, loss 0.006301, train acc 0.998420, time 54.37 sec, lr 0.010000000000000002\
epoch 177, loss 0.005702, train acc 0.998620, time 54.74 sec, lr 0.010000000000000002\
epoch 178, loss 0.005615, train acc 0.998600, time 54.77 sec, lr 0.010000000000000002\
epoch 179, loss 0.005929, train acc 0.998600, time 54.77 sec, lr 0.010000000000000002\
epoch 180, loss 0.006765, train acc 0.998060, time 54.91 sec, lr 0.010000000000000002\
epoch 181, loss 0.005389, train acc 0.998420, time 55.47 sec, lr 0.0010000000000000002\
epoch 182, loss 0.005740, train acc 0.998540, time 55.16 sec, lr 0.0010000000000000002\
epoch 183, loss 0.005617, train acc 0.998580, time 55.17 sec, lr 0.0010000000000000002\
epoch 184, loss 0.005248, train acc 0.998460, time 54.99 sec, lr 0.0010000000000000002\
epoch 185, loss 0.004942, train acc 0.998640, time 55.10 sec, lr 0.0010000000000000002\
epoch 186, loss 0.004870, train acc 0.998700, time 55.01 sec, lr 0.0010000000000000002\
epoch 187, loss 0.004892, train acc 0.998640, time 55.32 sec, lr 0.0010000000000000002\
epoch 188, loss 0.005019, train acc 0.998720, time 56.52 sec, lr 0.0010000000000000002\
epoch 189, loss 0.004288, train acc 0.998860, time 56.01 sec, lr 0.0010000000000000002\
epoch 190, loss 0.004287, train acc 0.998980, time 56.07 sec, lr 0.0010000000000000002\
epoch 191, loss 0.004688, train acc 0.998740, time 56.16 sec, lr 0.0010000000000000002\
epoch 192, loss 0.004181, train acc 0.998940, time 56.36 sec, lr 0.0010000000000000002\
epoch 193, loss 0.004413, train acc 0.999100, time 55.98 sec, lr 0.0010000000000000002\
epoch 194, loss 0.004062, train acc 0.999080, time 55.73 sec, lr 0.0010000000000000002\
epoch 195, loss 0.004395, train acc 0.998940, time 55.36 sec, lr 0.0010000000000000002\
epoch 196, loss 0.004446, train acc 0.998900, time 55.80 sec, lr 0.0010000000000000002\
epoch 197, loss 0.004343, train acc 0.998920, time 56.13 sec, lr 0.0010000000000000002\
epoch 198, loss 0.004628, train acc 0.998660, time 56.20 sec, lr 0.0010000000000000002\
epoch 199, loss 0.003823, train acc 0.999220, time 55.44 sec, lr 0.0010000000000000002\
epoch 200, loss 0.004550, train acc 0.998800, time 55.16 sec, lr 0.0010000000000000002}
