epoch 1, loss 1.656112, train acc 0.392140, time 193.11 sec, lr 0.1\
epoch 45, loss 0.262473, train acc 0.908860, time 137.51 sec, lr 0.1\
epoch 46, loss 0.263517, train acc 0.907840, time 136.07 sec, lr 0.1\
epoch 47, loss 0.259163, train acc 0.909540, time 135.49 sec, lr 0.1\
epoch 48, loss 0.255885, train acc 0.909560, time 135.44 sec, lr 0.1\
epoch 49, loss 0.257900, train acc 0.910040, time 135.19 sec, lr 0.1\
epoch 50, loss 0.254840, train acc 0.911280, time 135.02 sec, lr 0.1\
epoch 51, loss 0.255942, train acc 0.911060, time 136.85 sec, lr 0.1\
epoch 52, loss 0.249436, train acc 0.913040, time 137.21 sec, lr 0.1\
epoch 53, loss 0.255095, train acc 0.910860, time 137.61 sec, lr 0.1\
epoch 54, loss 0.252758, train acc 0.912040, time 137.73 sec, lr 0.1\
epoch 55, loss 0.250290, train acc 0.912580, time 137.92 sec, lr 0.1\
epoch 56, loss 0.243306, train acc 0.914780, time 138.25 sec, lr 0.1\
epoch 57, loss 0.245334, train acc 0.914280, time 135.86 sec, lr 0.1\
epoch 58, loss 0.241035, train acc 0.916440, time 135.67 sec, lr 0.1\
epoch 59, loss 0.243233, train acc 0.914760, time 136.04 sec, lr 0.1\
epoch 60, loss 0.242683, train acc 0.915680, time 135.37 sec, lr 0.1\
epoch 61, loss 0.239394, train acc 0.915740, time 135.33 sec, lr 0.1\
epoch 62, loss 0.240560, train acc 0.916820, time 135.17 sec, lr 0.1\
epoch 63, loss 0.234243, train acc 0.918320, time 135.76 sec, lr 0.1\
epoch 64, loss 0.242485, train acc 0.916680, time 135.53 sec, lr 0.1\
epoch 65, loss 0.233678, train acc 0.917600, time 136.74 sec, lr 0.1\
epoch 66, loss 0.234649, train acc 0.919180, time 137.40 sec, lr 0.1\
epoch 67, loss 0.229462, train acc 0.919780, time 137.49 sec, lr 0.1\
epoch 68, loss 0.232519, train acc 0.919840, time 138.02 sec, lr 0.1\
epoch 69, loss 0.226986, train acc 0.920820, time 138.12 sec, lr 0.1\
epoch 70, loss 0.231815, train acc 0.919620, time 138.54 sec, lr 0.1\
epoch 71, loss 0.228599, train acc 0.919920, time 136.99 sec, lr 0.1\
epoch 72, loss 0.227971, train acc 0.920620, time 136.27 sec, lr 0.1\
epoch 73, loss 0.226101, train acc 0.921720, time 136.05 sec, lr 0.1\
epoch 74, loss 0.228360, train acc 0.920720, time 135.52 sec, lr 0.1\
epoch 75, loss 0.224344, train acc 0.922280, time 135.65 sec, lr 0.1\
epoch 76, loss 0.227016, train acc 0.919980, time 135.37 sec, lr 0.1\
epoch 77, loss 0.223513, train acc 0.921900, time 136.68 sec, lr 0.1\
epoch 78, loss 0.220599, train acc 0.924340, time 137.26 sec, lr 0.1\
epoch 79, loss 0.221854, train acc 0.922560, time 137.98 sec, lr 0.1\
epoch 80, loss 0.214749, train acc 0.924600, time 138.02 sec, lr 0.1\
epoch 81, loss 0.220082, train acc 0.923600, time 136.81 sec, lr 0.1\
epoch 82, loss 0.216251, train acc 0.923520, time 136.64 sec, lr 0.1\
epoch 83, loss 0.218662, train acc 0.923880, time 137.88 sec, lr 0.1\
epoch 84, loss 0.214049, train acc 0.925620, time 138.07 sec, lr 0.1\
epoch 85, loss 0.218684, train acc 0.922020, time 137.89 sec, lr 0.1\
epoch 86, loss 0.210086, train acc 0.927380, time 138.17 sec, lr 0.1\
epoch 87, loss 0.213028, train acc 0.925760, time 137.72 sec, lr 0.1\
epoch 88, loss 0.215978, train acc 0.923920, time 137.11 sec, lr 0.1\
epoch 89, loss 0.212019, train acc 0.926880, time 138.05 sec, lr 0.1\
epoch 90, loss 0.212434, train acc 0.925040, time 138.36 sec, lr 0.1\
epoch 91, loss 0.127799, train acc 0.956820, time 138.13 sec, lr 0.010000000000000002\
epoch 92, loss 0.080540, train acc 0.974800, time 137.89 sec, lr 0.010000000000000002\
epoch 93, loss 0.065439, train acc 0.979840, time 138.04 sec, lr 0.010000000000000002\
epoch 94, loss 0.057591, train acc 0.982000, time 138.05 sec, lr 0.010000000000000002\
epoch 95, loss 0.052168, train acc 0.983740, time 138.77 sec, lr 0.010000000000000002\
epoch 96, loss 0.047519, train acc 0.984860, time 137.96 sec, lr 0.010000000000000002\
epoch 97, loss 0.046512, train acc 0.985520, time 138.62 sec, lr 0.010000000000000002\
epoch 98, loss 0.041332, train acc 0.987300, time 138.49 sec, lr 0.010000000000000002\
epoch 99, loss 0.037719, train acc 0.988680, time 138.62 sec, lr 0.010000000000000002\
epoch 100, loss 0.035726, train acc 0.988620, time 137.48 sec, lr 0.010000000000000002\
epoch 101, loss 0.033803, train acc 0.989500, time 136.78 sec, lr 0.010000000000000002\
epoch 102, loss 0.030658, train acc 0.991080, time 137.22 sec, lr 0.010000000000000002\
epoch 103, loss 0.029527, train acc 0.991260, time 136.83 sec, lr 0.010000000000000002\
epoch 104, loss 0.029642, train acc 0.991340, time 136.95 sec, lr 0.010000000000000002\
epoch 105, loss 0.028607, train acc 0.990960, time 136.38 sec, lr 0.010000000000000002\
epoch 106, loss 0.025520, train acc 0.992320, time 136.11 sec, lr 0.010000000000000002\
epoch 107, loss 0.025881, train acc 0.992240, time 136.40 sec, lr 0.010000000000000002\
epoch 108, loss 0.026124, train acc 0.991980, time 136.75 sec, lr 0.010000000000000002\
epoch 109, loss 0.024994, train acc 0.992740, time 135.83 sec, lr 0.010000000000000002\
epoch 110, loss 0.022544, train acc 0.993660, time 135.83 sec, lr 0.010000000000000002\
epoch 111, loss 0.022221, train acc 0.993480, time 136.19 sec, lr 0.010000000000000002\
epoch 112, loss 0.020967, train acc 0.993720, time 135.80 sec, lr 0.010000000000000002\
epoch 113, loss 0.020514, train acc 0.993840, time 136.03 sec, lr 0.010000000000000002\
epoch 114, loss 0.021359, train acc 0.993780, time 136.30 sec, lr 0.010000000000000002\
epoch 115, loss 0.019026, train acc 0.994340, time 136.48 sec, lr 0.010000000000000002\
epoch 116, loss 0.019278, train acc 0.994320, time 136.28 sec, lr 0.010000000000000002\
epoch 117, loss 0.018896, train acc 0.994480, time 136.17 sec, lr 0.010000000000000002\
epoch 118, loss 0.018537, train acc 0.994300, time 135.90 sec, lr 0.010000000000000002\
epoch 119, loss 0.018051, train acc 0.994880, time 135.79 sec, lr 0.010000000000000002\
epoch 120, loss 0.017033, train acc 0.994860, time 136.30 sec, lr 0.010000000000000002\
epoch 121, loss 0.017983, train acc 0.994560, time 136.08 sec, lr 0.010000000000000002\
epoch 122, loss 0.016998, train acc 0.995220, time 136.44 sec, lr 0.010000000000000002\
epoch 123, loss 0.017293, train acc 0.995000, time 136.22 sec, lr 0.010000000000000002\
epoch 124, loss 0.015831, train acc 0.995360, time 136.67 sec, lr 0.010000000000000002\
epoch 125, loss 0.016782, train acc 0.994720, time 135.83 sec, lr 0.010000000000000002\
epoch 126, loss 0.016642, train acc 0.995080, time 135.20 sec, lr 0.010000000000000002\
epoch 127, loss 0.014995, train acc 0.995600, time 136.36 sec, lr 0.010000000000000002\
epoch 128, loss 0.015349, train acc 0.995580, time 136.54 sec, lr 0.010000000000000002\
epoch 129, loss 0.015197, train acc 0.995500, time 136.63 sec, lr 0.010000000000000002\
epoch 130, loss 0.015880, train acc 0.995060, time 135.68 sec, lr 0.010000000000000002\
epoch 131, loss 0.016867, train acc 0.995040, time 136.10 sec, lr 0.010000000000000002\
epoch 132, loss 0.014321, train acc 0.995800, time 135.55 sec, lr 0.010000000000000002\
epoch 133, loss 0.013512, train acc 0.995880, time 135.76 sec, lr 0.010000000000000002\
epoch 134, loss 0.015432, train acc 0.995280, time 136.24 sec, lr 0.010000000000000002\
epoch 135, loss 0.014148, train acc 0.995720, time 136.59 sec, lr 0.010000000000000002\
epoch 136, loss 0.012950, train acc 0.996380, time 135.88 sec, lr 0.010000000000000002\
epoch 137, loss 0.013730, train acc 0.996300, time 135.56 sec, lr 0.010000000000000002\
epoch 138, loss 0.012478, train acc 0.996380, time 135.75 sec, lr 0.010000000000000002\
epoch 139, loss 0.013738, train acc 0.996060, time 135.63 sec, lr 0.010000000000000002\
epoch 140, loss 0.013098, train acc 0.996380, time 135.82 sec, lr 0.010000000000000002\
epoch 141, loss 0.013650, train acc 0.996080, time 135.07 sec, lr 0.010000000000000002\
epoch 142, loss 0.012708, train acc 0.996420, time 135.58 sec, lr 0.010000000000000002\
epoch 143, loss 0.013229, train acc 0.996340, time 135.34 sec, lr 0.010000000000000002\
epoch 144, loss 0.013550, train acc 0.996080, time 135.33 sec, lr 0.010000000000000002\
epoch 145, loss 0.013673, train acc 0.995920, time 135.40 sec, lr 0.010000000000000002\
epoch 146, loss 0.012746, train acc 0.996180, time 134.97 sec, lr 0.010000000000000002\
epoch 147, loss 0.013860, train acc 0.995700, time 135.01 sec, lr 0.010000000000000002\
epoch 148, loss 0.013446, train acc 0.995980, time 135.12 sec, lr 0.010000000000000002\
epoch 149, loss 0.012332, train acc 0.996540, time 134.93 sec, lr 0.010000000000000002\
epoch 150, loss 0.012489, train acc 0.996380, time 134.97 sec, lr 0.010000000000000002\
epoch 151, loss 0.011724, train acc 0.996880, time 135.19 sec, lr 0.010000000000000002\
epoch 152, loss 0.011856, train acc 0.996260, time 135.12 sec, lr 0.010000000000000002\
epoch 153, loss 0.011246, train acc 0.996800, time 135.05 sec, lr 0.010000000000000002\
epoch 154, loss 0.011785, train acc 0.996760, time 134.90 sec, lr 0.010000000000000002\
epoch 155, loss 0.012959, train acc 0.996040, time 134.57 sec, lr 0.010000000000000002\
epoch 156, loss 0.011950, train acc 0.996680, time 135.38 sec, lr 0.010000000000000002\
epoch 157, loss 0.012327, train acc 0.996460, time 135.07 sec, lr 0.010000000000000002\
epoch 158, loss 0.011962, train acc 0.996340, time 135.09 sec, lr 0.010000000000000002\
epoch 159, loss 0.012270, train acc 0.996200, time 134.86 sec, lr 0.010000000000000002\
epoch 160, loss 0.012032, train acc 0.996520, time 134.90 sec, lr 0.010000000000000002\
epoch 161, loss 0.010907, train acc 0.996960, time 134.96 sec, lr 0.010000000000000002\
epoch 162, loss 0.012312, train acc 0.996440, time 135.02 sec, lr 0.010000000000000002\
epoch 163, loss 0.012304, train acc 0.996540, time 135.44 sec, lr 0.010000000000000002\
epoch 164, loss 0.011517, train acc 0.996820, time 135.56 sec, lr 0.010000000000000002\
epoch 165, loss 0.010802, train acc 0.996700, time 135.04 sec, lr 0.010000000000000002\
epoch 166, loss 0.011828, train acc 0.996660, time 135.43 sec, lr 0.010000000000000002\
epoch 167, loss 0.010904, train acc 0.996700, time 135.23 sec, lr 0.010000000000000002\
epoch 168, loss 0.010945, train acc 0.996840, time 135.37 sec, lr 0.010000000000000002\
epoch 169, loss 0.012278, train acc 0.996480, time 134.87 sec, lr 0.010000000000000002\
epoch 170, loss 0.011577, train acc 0.996520, time 135.18 sec, lr 0.010000000000000002\
epoch 171, loss 0.011696, train acc 0.996720, time 135.02 sec, lr 0.010000000000000002\
epoch 172, loss 0.013105, train acc 0.995980, time 134.83 sec, lr 0.010000000000000002\
epoch 173, loss 0.011899, train acc 0.996760, time 135.35 sec, lr 0.010000000000000002\
epoch 174, loss 0.011131, train acc 0.996660, time 135.00 sec, lr 0.010000000000000002\
epoch 175, loss 0.011890, train acc 0.996620, time 134.73 sec, lr 0.010000000000000002\
epoch 176, loss 0.011566, train acc 0.996680, time 134.86 sec, lr 0.010000000000000002\
epoch 177, loss 0.012310, train acc 0.996360, time 134.90 sec, lr 0.010000000000000002\
epoch 178, loss 0.013990, train acc 0.996200, time 134.65 sec, lr 0.010000000000000002\
epoch 179, loss 0.011991, train acc 0.996460, time 134.65 sec, lr 0.010000000000000002\
epoch 180, loss 0.010539, train acc 0.996900, time 135.58 sec, lr 0.010000000000000002\
epoch 181, loss 0.009335, train acc 0.997640, time 134.88 sec, lr 0.0010000000000000002\
epoch 182, loss 0.007671, train acc 0.997700, time 135.65 sec, lr 0.0010000000000000002\
epoch 183, loss 0.007310, train acc 0.998140, time 135.29 sec, lr 0.0010000000000000002\
epoch 184, loss 0.006445, train acc 0.998540, time 134.69 sec, lr 0.0010000000000000002\
epoch 185, loss 0.007099, train acc 0.997920, time 134.59 sec, lr 0.0010000000000000002\
epoch 186, loss 0.006015, train acc 0.998380, time 134.99 sec, lr 0.0010000000000000002\
epoch 187, loss 0.005419, train acc 0.998800, time 134.65 sec, lr 0.0010000000000000002\
epoch 188, loss 0.005717, train acc 0.998740, time 135.02 sec, lr 0.0010000000000000002\
epoch 189, loss 0.006336, train acc 0.998360, time 135.02 sec, lr 0.0010000000000000002\
epoch 190, loss 0.005553, train acc 0.998680, time 135.53 sec, lr 0.0010000000000000002\
epoch 191, loss 0.005166, train acc 0.998660, time 135.95 sec, lr 0.0010000000000000002\
epoch 192, loss 0.005465, train acc 0.998760, time 134.98 sec, lr 0.0010000000000000002\
epoch 193, loss 0.005152, train acc 0.998740, time 134.81 sec, lr 0.0010000000000000002\
epoch 194, loss 0.005317, train acc 0.998620, time 134.81 sec, lr 0.0010000000000000002\
epoch 195, loss 0.005319, train acc 0.998440, time 135.01 sec, lr 0.0010000000000000002\
epoch 196, loss 0.005129, train acc 0.998580, time 134.99 sec, lr 0.0010000000000000002\
epoch 197, loss 0.004139, train acc 0.998980, time 135.06 sec, lr 0.0010000000000000002\
epoch 198, loss 0.004644, train acc 0.998800, time 135.34 sec, lr 0.0010000000000000002\
epoch 199, loss 0.004185, train acc 0.999040, time 135.71 sec, lr 0.0010000000000000002\
epoch 200, loss 0.004943, train acc 0.998640, time 135.66 sec, lr 0.0010000000000000002}
